common.name,species.name,1913,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1930,1931,1932,1934,1935,1936,1937,1939,1940,1944,1946,1949,1950,1952,1953,1955,1956,1957
American Kestrel,Falco sparverius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
American Coot,Fulica americana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wilson's/Common Snipe,Gallinago delicata/gallinago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,5,3,1,0,2,0,1,0,0,2,0,0
Common Yellowthroat,Geothlypis trichas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Finch,Haemorhous purpureus,0,6,0,0,0,0,0,3,0,16,3,0,0,1,0,2,16,0,1,0,0,0,0,0,1,2,9,0,2
blackbird sp.,Icteridae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,0,15,0,0,0,3,5,10,6,9,1,0,1,9,5,29,3,7,0,7,46,27,25,44,46,19,31,11,6
Northern Shrike,Lanius excubitor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
Herring Gull,Larus argentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Ring-billed Gull,Larus delawarensis,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooded Merganser,Lophodytes cucullatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
